CustomerId,FirstName,Surname,Email Address,City,Mailbox
1,Julian,Dąbrowski,julian.dąbrowski@hotmail.com,Warszawa,hotmail.com
2,Cyprian,Woźniak,cyprian.woźniak@gmail.com,Gdańsk,gmail.com
3,Piotr,Kowalski,piotr.kowalski@gmail.com,Szczecin,gmail.com
4,Olgierd,Kowalczyk,olgierd.kowalczyk@gmail.com,Rzeszów,gmail.com
5,Lucyna,Wiśniewska,lucyna.wiśniewska@gmail.com,Toruń,gmail.com
6,Arleta,Urbańska,arleta.urbańska@onet.pl,Częstochowa,onet.pl
7,Roksana,Kalinowska,roksana.kalinowska@onet.pl,Katowice,onet.pl
8,Aniela,Kucharska,aniela.kucharska@onet.pl,Gdynia,onet.pl
9,Juliusz,Ostrowski,juliusz.ostrowski@gmail.com,Gdańsk,gmail.com
10,Maksymilian,Ostrowski,maksymilian.ostrowski@gmail.com,Łódź,gmail.com
11,Czesław,Tomaszewski,czesław.tomaszewski@onet.pl,Wrocław,onet.pl
12,Przemysław,Wysocki,przemysław.wysocki@onet.pl,Szczecin,onet.pl
13,Olgierd,Szulc,olgierd.szulc@hotmail.com,Kraków,hotmail.com
14,Gabriel,Krupa,gabriel.krupa@gmail.com,Opole,gmail.com
15,Klaudiusz,Jakubowski,klaudiusz.jakubowski@gmail.com,Toruń,gmail.com
16,Kewin,Rutkowski,kewin.rutkowski@gmail.com,Warszawa,gmail.com
17,Jarosław,Kaźmierczak,jarosław.kaźmierczak@yahoo.com,Warszawa,yahoo.com
18,Piotr,Wasilewska,piotr.wasilewska@yahoo.com,Opole,yahoo.com
19,Klaudiusz,Sobczak,klaudiusz.sobczak@gmail.com,Gdańsk,gmail.com
20,Bartosz,Szulc,bartosz.szulc@gmail.com,Toruń,gmail.com
21,Miron,Szczepański,miron.szczepański@gmail.com,Wrocław,gmail.com
22,Eryk,Szewczyk,eryk.szewczyk@onet.pl,Wrocław,onet.pl
23,Eugeniusz,Włodarczyk,eugeniusz.włodarczyk@onet.pl,Łódź,onet.pl
24,Błażej,Sawicki,błażej.sawicki@onet.pl,Wrocław,onet.pl
25,Gabriel,Wasilewska,gabriel.wasilewska@hotmail.com,Częstochowa,hotmail.com
26,Miron,Lis,miron.lis@yahoo.com,Płock,yahoo.com
27,Mikołaj,Chmielewski,mikołaj.chmielewski@yahoo.com,Opole,yahoo.com
28,Martin,Błaszczyk,martin.błaszczyk@yahoo.com,Kalisz,yahoo.com
29,Maciej,Ostrowski,maciej.ostrowski@gmail.com,Łódź,gmail.com
30,Maciej,Przybylski,maciej.przybylski@gmail.com,Łódź,gmail.com
31,Florian,Błaszczyk,florian.błaszczyk@yahoo.com,Warszawa,yahoo.com
32,Korneliusz,Piotrowski,korneliusz.piotrowski@gmail.com,Wrocław,gmail.com
33,Kornel,Kamiński,kornel.kamiński@gmail.com,Płock,gmail.com
34,Jędrzej,Czarnecki,jędrzej.czarnecki@gmail.com,Poznań,gmail.com
